client_id,service_type_id,rate,registered_users,active_users,month,year
1,1,22.40,0,34,1,2023
1,2,22.40,0,1,1,2023
1,3,22.40,0,3,1,2023
1,4,8.96,0,65,1,2023
1,5,22.40,0,3,1,2023
1,6,22.40,0,151,1,2023

2,1,40.32,0,3,1,2023
2,6,40.32,0,11,1,2023
2,7,40.32,0,17,1,2023

3,1,36.00,0,2,1,2023
3,5,36.00,0,1,1,2023
3,6,36.00,0,5,1,2023

4,1,40.32,0,7,1,2023
4,2,40.32,0,1,1,2023
4,6,11.20,0,68,1,2023

5,1,36.00,0,3,1,2023
5,6,36.00,0,13,1,2023

6,1,24.64,0,10,1,2023
6,5,24.64,0,3,1,2023
6,6,24.64,0,19,1,2023
6,8,13.44,0,35,1,2023
6,9,280.00,0,1,1,2023

7,1,24.64,0,2,1,2023
7,7,1.00,0,200,1,2023

8,1,36.00,0,2,1,2023
8,5,36.00,0,15,1,2023

9,1,28.00,0,3,1,2023
9,5,28.00,0,7,1,2023

10,1,40.32,0,8,1,2023
10,5,40.32,0,1,1,2023
10,6,1.00,0,7,1,2023

11,1,1.00,0,2,1,2023
11,11,289.32,0,1,1,2023
11,12,5.00,0,1,1,2023

12,1,24.64,0,2,1,2023
12,6,24.64,0,0,1,2023
12,10,112.00,0,1,1,2023
12,11,11.20,0,40,1,2023
12,13,16.80,0,4,1,2023

13,1,1.00,0,4,1,2023

14,8,22.00,0,3,1,2023
